City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,diamantino,-14.4086,-56.4461,30.04,63,98,2.2,BR,1674416094
96,codrington,-38.2667,141.9667,16.84,89,100,2.91,AU,1674416095
97,yafran,32.0633,12.5286,7.78,61,97,6.19,LY,1674416095
98,barrow,71.2906,-156.7887,-21.99,84,75,4.63,US,1674416096
99,kenai,60.5544,-151.2583,-4.97,63,100,10.29,US,1674415859
100,tasiilaq,65.6145,-37.6368,-11.91,53,60,3.79,GL,1674416097
101,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1674416097
102,sarlat-la-caneda,44.889,1.2166,0.55,77,100,2.98,FR,1674416098
103,kaitangata,-46.2817,169.8464,12.64,55,29,3.9,NZ,1674416099
104,hambantota,6.1241,81.1185,24.43,85,100,7.12,LK,1674416099
105,butaritari,3.0707,172.7902,26.96,74,96,6.69,KI,1674416099
106,cortez,37.3489,-108.5859,-0.72,61,0,1.54,US,1674416100
107,airai,-8.9266,125.4092,15.86,92,100,0.66,TL,1674416100
108,armeria,18.9333,-103.9667,27.78,55,0,3.71,MX,1674416101
109,igrim,63.1906,64.4162,-11.7,93,93,2.38,RU,1674416101
110,noshiro,40.2039,140.0242,-4.68,86,76,2.15,JP,1674416102
111,gornyy,55.1153,83.9059,-17.18,95,100,8.27,RU,1674416102
112,los llanos de aridane,28.6585,-17.9182,16.86,88,100,8.23,ES,1674416103
113,sampit,-2.5333,112.95,23.21,97,100,0.96,ID,1674416103
114,tuktoyaktuk,69.4541,-133.0374,-15.0,85,100,1.03,CA,1674416104
115,tazovskiy,67.4667,78.7,-26.21,99,98,3.99,RU,1674416105
116,vao,-22.6667,167.4833,26.21,86,100,7.86,NC,1674416105
117,ust-tarka,55.5672,75.705,-7.31,93,100,5.41,RU,1674416106
118,fairbanks,64.8378,-147.7164,-36.41,98,38,0.89,US,1674416101
119,qaanaaq,77.484,-69.3632,-32.02,80,100,3.09,GL,1674416106
120,thompson,55.7435,-97.8558,-8.91,92,100,2.57,CA,1674416107
121,tuatapere,-46.1333,167.6833,12.44,56,46,2.48,NZ,1674416108
122,helena,46.5927,-112.0361,1.81,64,20,1.34,US,1674416037
123,norman wells,65.282,-126.8329,-18.98,84,100,0.0,CA,1674415895
124,ust-nera,64.5667,143.2,-37.61,100,96,0.66,RU,1674416109
125,uvat,59.1433,68.8953,-7.38,95,100,3.72,RU,1674416109
126,iqaluit,63.7506,-68.5145,-15.15,84,75,0.0,CA,1674416110
127,cabedelo,-6.9811,-34.8339,30.37,74,14,4.75,BR,1674416110
128,mandurah,-32.55,115.7,20.03,64,0,2.45,AU,1674416111
129,priargunsk,50.3691,119.1012,-47.23,100,73,0.5,RU,1674416111
130,naldurg,17.8167,76.3,20.75,45,6,2.86,IN,1674416112
131,bambous virieux,-20.3428,57.7575,26.14,83,75,1.03,MU,1674416113
132,cap malheureux,-19.9842,57.6142,25.82,79,100,4.14,MU,1674416114
133,andenes,69.3143,16.1194,5.99,52,75,12.86,NO,1674415971
134,nouna,12.7333,-3.8667,29.73,11,11,1.9,BF,1674416114
135,leningradskiy,69.3833,178.4167,-36.67,89,43,1.87,RU,1674416115
136,bac lieu,9.285,105.7244,24.78,85,100,5.56,VN,1674416116
137,lovozero,68.005,35.0117,-6.63,89,98,2.21,RU,1674416116
138,mahebourg,-20.4081,57.7,26.16,83,75,1.03,MU,1674415932
139,ulaangom,49.9811,92.0667,-31.13,77,52,1.82,MN,1674415968
140,gouyave,12.1646,-61.7296,28.43,70,40,7.2,GD,1674416117
141,champerico,14.3,-91.9167,33.3,60,7,5.29,GT,1674416118
142,erenhot,43.6475,111.9767,-22.95,55,79,6.16,CN,1674416118
143,coos bay,43.3665,-124.2179,8.46,95,20,2.06,US,1674416119
144,houma,29.5958,-90.7195,14.0,92,100,2.57,US,1674416120
145,agucadoura,41.4318,-8.7804,10.13,68,75,2.89,PT,1674416120
146,pisco,-13.7,-76.2167,24.03,78,0,5.14,PE,1674416121
147,vanimo,-2.6741,141.3028,24.64,88,100,1.24,PG,1674416122
148,cidreira,-30.1811,-50.2056,26.36,72,15,5.1,BR,1674416122
149,paita,-5.0892,-81.1144,25.5,65,53,5.38,PE,1674416123
150,faya,18.3851,42.4509,13.06,61,3,1.54,SA,1674416123
151,baoying,33.2292,119.3092,3.72,90,91,2.71,CN,1674416124
152,georgetown,5.4112,100.3354,24.99,89,20,1.54,MY,1674416125
153,mongoumba,3.6415,18.5936,25.29,30,86,1.17,CF,1674416125
154,caravelas,-17.7125,-39.2481,27.75,75,100,3.82,BR,1674416126
155,lavrentiya,65.5833,-171.0,-29.65,93,41,5.0,RU,1674416126
156,ketchikan,55.3422,-131.6461,3.26,93,100,4.63,US,1674416120
157,clyde river,70.4692,-68.5914,-32.87,75,100,11.83,CA,1674416127
158,svetlogorsk,52.6333,29.7333,1.52,89,100,2.41,BY,1674416127
159,khani,41.9563,42.9566,4.76,62,1,2.58,GE,1674416128
160,ahipara,-35.1667,173.1667,19.16,81,60,2.36,NZ,1674416128
161,chalatenango,14.0333,-88.9333,29.76,23,64,1.07,SV,1674416129
162,arucas,28.1198,-15.5233,18.23,77,79,7.41,ES,1674416129
163,kavieng,-2.5744,150.7967,27.45,77,100,3.97,PG,1674416130
164,ribeira grande,38.5167,-28.7,16.54,82,20,8.49,PT,1674416130
165,longyearbyen,78.2186,15.6401,-1.09,80,40,7.72,SJ,1674416131
166,palmer,42.1584,-72.3287,3.68,68,100,3.09,US,1674416131
167,cabo san lucas,22.8909,-109.9124,24.23,63,0,2.57,MX,1674416131
168,vaini,-21.2,-175.2,26.09,89,20,0.0,TO,1674416132
169,puertollano,38.6871,-4.1073,5.09,52,0,1.56,ES,1674416132
170,naze,28.3667,129.4833,18.51,80,56,7.5,JP,1674415928
171,tomatlan,19.9333,-105.25,29.14,46,0,4.65,MX,1674416133
172,reyes,-14.3167,-67.3833,32.54,51,98,3.29,BO,1674416133
173,mazagao,-0.115,-51.2894,25.92,88,89,2.8,BR,1674416134
174,sault sainte marie,46.5168,-84.3333,-1.84,82,100,2.06,CA,1674415837
175,beloha,-25.1667,45.05,24.78,75,100,7.47,MG,1674416134
176,omsukchan,62.5333,155.8,-33.85,98,100,2.87,RU,1674416135
177,los andes,-32.8337,-70.5983,31.12,20,0,4.25,CL,1674416135
178,carbonia,39.1672,8.5222,3.89,85,29,1.91,IT,1674416136
179,mount isa,-20.7333,139.5,18.87,63,78,0.51,AU,1674416136
180,polohy,47.4844,36.2536,0.1,80,100,4.63,UA,1674416137
181,vardo,70.3705,31.1107,-1.01,86,0,11.32,NO,1674416137
182,dali,25.7,100.1833,4.04,60,100,2.44,CN,1674416138
183,lompoc,34.6391,-120.4579,16.68,61,0,8.75,US,1674416138
184,shizilu,35.1711,118.8289,0.79,88,13,1.62,CN,1674416138
185,piacabucu,-10.4056,-36.4344,27.74,70,37,5.85,BR,1674416139
186,simav,39.0882,28.9777,6.58,66,99,1.11,TR,1674416139
187,adrar,20.5022,-10.0711,20.0,14,0,4.63,MR,1674416140
188,fez,34.0372,-4.9998,12.14,82,75,2.06,MA,1674416006
189,castro,-24.7911,-50.0119,23.56,77,80,0.33,BR,1674416141
190,khatanga,71.9667,102.5,-40.06,91,35,1.54,RU,1674416141
191,marsa matruh,31.3525,27.2453,15.11,63,0,2.57,EG,1674416142
192,pacific grove,36.6177,-121.9166,13.7,71,0,4.47,US,1674416078
193,tambun,-6.2641,107.0712,27.24,73,100,3.43,ID,1674416142
